,file,artist,title,lyrics,tags,mood
2759,TRASZUN128F148B165.h5,3 Doors Down,Duck And Run,"To this world I'm unimportant
Just because I have nothing to give
So you call this your free country
Tell me why it costs so much to live
Tell me why

This world can turn me down
But I won't turn away, oh no
And I won't turn around

All my work and endless measures
Never seem to get me very far
Walk a mile just to move an inch now
Even though I'm trying so damn hard
I'm trying so hard

This world can turn me down
But I won't turn away
And I won't duck and run
'Cause I'm not built that way

When everything is gone
There's nothing there to fear
This world cannot bring me down
No, 'cause I am already here, oh no

I'm already here
Down on my knees
I'm already here, oh no
I'm already here
I must have told you a thousand times
I'm not running away

I won't duck and run
I won't duck and run
I won't duck and run
No, no, no, pass away

This world can turn me down
But I won't turn away
And I won't duck and run
'Cause I'm not built that way

When everything is gone
There's nothing there to fear
This world cannot bring me down
No, 'cause I am already here

This world can turn me down
But I won't turn away
And I won't duck and run
'Cause I'm not built that way

When everything is gone
There's nothing there to fear
This world cannot bring me down
No, 'cause I am already here","['rock', 'alternative rock', 'alternative', '3 Doors Down', 'hard rock', 'post-grunge', 'metal', 'duck and run', 'indie rock', 'alternative metal', 'modern rock', 'seen live', 'pop', 'punk', 'Grunge', 'emo', 'pop rock', 'acoustic', '90s', 'Favorite Artists', 'cool', 'alternative pop', '3 doors down - duck and run', 'classic rock', 'chill', 'heavy', 'catchy', 'Awesome', 'upbeat', 'american', 'loved', '6 of 10 stars', 'rockin', 'nickelback', '9-11 banned songs', 'random favorite songs', '3dd', 'Working songs', 'indie', 'male', 'favorite songs', 'ambient', 'albums I own', 'dance', 'favorites', 'memories', 'college rock', 'guitar', 'Driving', 'ninja tune', 'winter', 'Mellow', 'party', 'punk rock', 'The Offspring', 'excellent', 'ethereal', 'melancholic', 'male vocalists', 'college', 'Acoustic Rock', '4', 'Favorite', 'Pop-Rock', 'fav', 'alt rock', 'lovely', 'yes', '8 of 10 stars', 'determination', 'male vocals', 'wonderful', 'Good Stuff', 'american artist', 'Faves', 'Good Charlotte', 'twilight', 'unknown', 'dreamworks', 'driving song', 'sound storm', 'Dark Days', 'like it', 'System of a Down', 'All time favourites', 'android', 'best of artist', 'My Favourites', 'Creed', 'bali', 'funky rock', 'Favourite Music', 'Last.fm', 'rebel', 'Motivational', 'rocking out', 'Soft Metal', 'FREAK OUT', 'Cheffy', '90s alternative']",1
2784,TRBGASN128F427BF8F.h5,Jennifer Lopez,I'm Glad,"Baby, when I think about...
The day that we first met 
(The day that we first met)
Wasn't lookin' for what I found
But I found you and I'm bound to
Find happiness in bein' around you

I'm glad when I'm makin' love to you
I'm glad for the way you make me feel
I love it 'cause you seem to blow my mind
Every time
I'm glad when you walk you hold my hand
I'm happy that you know how to be a man
I'm glad that you came into my life
I'm so glad

I dig the way that you get down 
(You get down, thugged out)
And you still know how to hold me 
(And you still know how to hold me)
Perfect blend, masculine 
(Can't get enough now)
I think I'm in love
Damn, finally

I'm glad when I'm makin' love to you
I'm glad for the way you make me feel
I love it 'cause you seem to blow my mind
Every time
I'm glad when you walk you hold my hand
I'm happy that you know how to be a man
I'm glad that you came into my life
I'm so glad

I'm glad that you turned out to be
That certain someone special who makes this life worth living
I'm glad you're here, just lovin' me
So say that you won't leave
'Cause since the day you came
I've been glad

I'm glad when I'm makin' love to you
I'm glad for the way you make me feel
I love it 'cause you seem to blow my mind
Every time
I'm glad when you walk you hold my hand
I'm happy that you know how to be a man
I'm glad that you came into my life
I'm so glad","['pop', 'rnb', 'jennifer lopez', 'dance', 'latin', 'female vocalists', 'memories', 'american', 'female vocalist', '00s', 'Love', 'r&b', 'love song', 'sexy', 'favorites', 'romantic', '2002', 'im glad', 'chillout', '2003', 'feel good', 'Mellow', 'soft', 'top 40', 'jlo', 'rec by trilby', 'Hip-Hop', 'female', 'hip hop', 'chill', 'classic', 'sad', 'clean', 'USA', 'happy', 'catchy', 'dance-pop', 'urban', 'diva', 'favourite', 'Bittersweet', 'fun', 'cool', 'samples', 'dance pop', 'warm', 'hot', 'latin pop', 'best', 'Favourites', 'Guilty Pleasures', 'sunny', 'sweet', 'school', '2000s', 'loneliness after dusk', 'pozytywne wibracje', 'favorite song', 'favorite by this singer', 'Fave', 'slow jams', 'sing along', '4 of 10 stars', 'Good Stuff', 'girly', 'jennifer', '6', 'joy', 'grooves', 'flashdance', 'puerto rico', ""r'n'b"", 'my music', 'female voice', 'glamorous', 'girlie', 'eletronica', 'nice beat', 'special', 'Pop Music', 'Sincere', 'Pop Life', 'songs I absolutely love', 'contemporary rnb', 'West Coast swing', 'adrian', 'sleek', 'great samples', 'FLOP', 'zonnebloem', 'New Soul - Hip Hop - Rap', '2000-3', 'latin diva', '2002 albums', 'affirming', 'bob your head', 'alex c', 'husband', '2000er', 'nostalji']",1
2799,TRATDKN128E078EDB3.h5,Eminem,The Way I Am,"Aight, man, whatever...

Spoken:
Dre, just let it run.
Hey yo, turn the beat up a little bit
Hey yo, this song is for anyone... fuck it, just shut up and listen
Hey yo

I sit back with this pack of Zig-Zags and this bag
Of this weed it gives me the shit needed to be
The most meanest MC on this... on this earth
And since birth I've been cursed with this curse to just curse

And just blurt this berserk and bizarre shit that works
And it sells and it helps in itself to relieve
All this tension dispensin' these sentences gettin' this stress
That's been eatin' me recently off of this chest

And I rest again peacefully (peacefully)
But at least have the decency in you
To leave me alone, when you freaks see me out
In the streets when I'm eatin' or feedin' my daughter

To not come and speak to me (speak to me)
I don't know you and no, I don't owe you a mo-therfuck-ing thing
I'm not Mr. *NSYNC, I'm not what your friends think
I'm not Mr. Friendly, I can be a prick

If you tempt me my tank is on empty (is on empty)
No patience is in me and if you offend me
I'm liftin' you 10 feet (10 feet) in the air
I don't care who was there and who saw me destroy you

Go call you a lawyer, file you a lawsuit
I'll smile in the courtroom and buy you a wardrobe
I'm tired of arguin' (of arguin)
I don't mean to be mean, but that's all I can be, it's just me

And I am, whatever you say I am
If I wasn't, then why would I say I am
In the paper, the news every day I am
Radio won't even play my jam

'Cause I am, whatever you say I am
If I wasn't, then why would I say I am
In the paper, the news every day I am
I don't know, it's just the way I am

Sometimes I just feel like my father, I hate to be bothered
With all of this nonsense, it's constant
And, ""Oh, it's his lyrical content.
That song ""Guilty Conscience"" has gotten such rotten responses.""

And all of this controversy circles me
And it seems like the media immediately
Points a finger at me (finger at me)
So I point one back at 'em, but not the index or pinky

Or the ring or the thumb, it's the one you put up
When you don't give a fuck, when you won't just put up
With the bullshit they pull, 'cause they full of shit too
When a dude's gettin' bullied and shoots up his school

And they blame it on Marilyn (on Marilyn) and the heroin
Where were the parents at? And look where it's at
Middle America, now it's a tragedy
Now it's so sad to see an upper class city

Havin' this happenin' (this happenin' )
Then attack Eminem 'cause I rap this way (rap this way)
But I'm glad 'cause they feed me the fuel that I need for the fire
To burn and it's burnin' and I have returned

And I am whatever you say I am
If I wasn't, then why would I say I am
In the paper, the news every day I am
Radio won't even play my jam

'Cause I am whatever you say I am
If I wasn't, then why would I say I am
In the paper, the news every day I am
I don't know, it's just the way I am

I'm so sick and tired of bein' admired
That I wish that I would just die or get fired
And dropped from my label, let's stop with the fables
I'm not gonna be able to top on ""My Name Is""

And pigeonholed into some poppy sensation
That copped me rotation at rock 'n' roll stations
And I just do not got the patience (got the patience)
To deal with these cocky caucasians

Who think, I'm some wigger who just tries to be black
'Cause I talk with an accent and grab on my balls
So they always keep askin' the same fuckin' questions (fuckin' questions)
What school did I go to, what hood I grew up in?

The why, the who, what, when, the where and the how
Till I'm grabbin' my hair and I'm tearin' it out (ahhh)
'Cause they drivin' me crazy (me crazy)
I can't take it, I'm racin', I'm pacin', I stand and I sit

And I'm thankful for every fan that I get
But I can't take a shit in the bathroom without someone standin' by it
No, I won't sign your autograph
You can call me an asshole, I'm glad

'Cause I am whatever you say I am
If I wasn't, then why would I say I am
In the paper, the news every day I am
Radio won't even play my jam

'Cause I am, whatever you say I am
If I wasn't, then why would I say I am
In the paper, the news every day I am
I don't know, it's just the way I am","['rap', 'Eminem', 'Hip-Hop', 'hip hop', 'angry', 'aggressive', '00s', 'hardcore hip hop', 'The Way I Am', 'Gangsta Rap', 'Horrorcore', 'american', 'favorites', 'detroit', 'hiphop', '2000', 'white rappers', 'dr dre', 'pop', 'rock', 'Awesome', 'mojolukasmojo', 'eminem - the way i am', 'favorite songs', 'hardcore', 'USA', 'piano', 'rnb', 'intense', 'anger', 'hardcore rap', 'real', 'Shady', 'marilyn manson', 'amazing', 'Favourites', '2000s', 'EM', 'Aftermath', 'shady records', 'Snoop Dogg', 'Absolutely brilliant', 'vinyl scratches', 'classic', 'epic', 'Dope', 'introspective', 'old school', 'Menacing', 'loved', 'male vocalist', 'True Hip Hop', 'alternative rap', 'FUCKING AWESOME', 'Rap  Hip-Hop', 'bitter', '4 Stars', 'Tag', 'cathartic', 'censored', 'fuck you', 'hip-hop and rap', 'manson', 'midwest rap', 'over played', 'Smoking song', 'Marshall Mathers', 'sonic rock', 'aitchchill', ""can't stop listening"", 'Method Man and Redman', 'critically acclaimed song', 'Hip-HopRap', 'likeit', 'Hell ya', 'aitchsonic', 'serious rap', 'MR MATHERS', 'TheDoc', 'plays on the strings of my heart', 'cleva lyrics', 'rap genius', 'way i am', 'teenage nostalgia', 'Best Eminem song']",3
2800,TRARJPL128F931C7D2.h5,The Almost,Summer Summer,"Walking around, looking down
For something better
There's nothing better
Same old weird and familiar sound
It's just you leaving town, my God
August came around

Summer comes and
Leaves you with a fever
That you caught
When you were young
Summer goes, makes you feel
Like life is great
And hanging on for more

Empty streets, empty me
Just call me vagabond
Wondering in the sun
This is getting sort of old
Wandering aimlessly
Is it empty streets, or empty me?

Summer comes and
Leaves you with a fever
That you caught
When you were young
Summer goes, makes you feel
Like life is great

And hanging on for more

Hanging, hanging
Holding on for more, hoping, praying,
This will all start over
Come back for me
We will walk the streets
Of this old town
Make me a promise
This will all come back around

Summer comes and goes and leaves you
(You wanted more)
It comes and goes and leaves you

Summer comes and
Leaves you with a fever
That you caught
When you were young
Summer goes, makes you feel
Like life is great
And hanging on for more.

Hanging on for more.","['post-hardcore', 'emo', 'sad', 'rock', 'Love', 'beautiful', 'summer', 'christian', '00s', 'makes me cry', 'i love it', '5', 'Post- hardcore']",2
2809,TRAIPST128F9302AE9.h5,Eminem,Beautiful,"Lately I've been hard to reach, I've been too long on my own
Everybody has a private world where they can be alone
Are you calling me? Are you trying to get through?
Are you reaching out for me? I'm reaching out for you

I'm just so fuckin' depressed, I just can't seem to get out this slump
If I could just get over this hump, but I need something to pull me out this dump
I took my bruises, took my lumps, fell down and I got right back up
But I need that spark to get psyched back up in order for me to pick the mic back up

I don't know how or why or when, I ended up in this position I'm in
I'm startin' to feel distant again, so I decided just to pick this pen
Up and try to make an attempt to vent, but I just can't admit
Or come to grips with the fact that I may be done with rap, I need a new outlet

And I know some shit's so hard to swallow, but I just can't sit back and wallow
In my own sorrow, but I know one fact, I'll be one tough act to follow
One tough act to follow, I'll be one tough act to follow
Here today, gone tomorrow, but you'd have to walk a thousand miles

In my shoes just to see what it's like to be me
I'll be you, let's trade shoes, just to see what it'd be like to
Feel your pain, you feel mine, go inside each others' minds
Just to see what we'd find, look at shit through each others' eyes

But don't let 'em say you ain't beautiful, oh
They can all get fucked, just stay true to you
So don't let 'em say you ain't beautiful, oh
They can all get fucked, just stay true to you (so)

I think I'm startin' to lose my sense of humor, everything's so tense and gloom I
Almost feel like I gotta check the temperature of the room, just as soon as I
Walk in, it's like all eyes on me and so I try to avoid any eye contact
'Cause if I do that, then it opens the door for conversation, like I want that

I'm not lookin' for extra attention, I just wanna be just like you
Blend in with the rest of the room, maybe just point me to the closest restroom
I don't need no fuckin' man servant, tryin' to follow me around and wipe my ass
Laugh at every single joke I crack and half of 'em ain't even funny like ""Hah!

Marshall you're so funny man, you should be a comedian, Goddamn!""
Unfortunately I am, I just hide behind the tears of a clown
So why don't you all sit down, listen to the tale I'm about to tell
Hell, we don't gotta trade our shoes and you ain't gotta walk no thousand miles

In my shoes just to see what it's like to be me
I'll be you, let's trade shoes, just to see what it'd be like to
Feel your pain, you feel mine, go inside each others' minds
Just to see, what we'd find, look at shit through each others' eyes

But don't let 'em say you ain't beautiful, oh
They can all get fucked, just stay true to you
So don't let 'em say you ain't beautiful, oh
They can all get fucked, just stay true to you (so)

Nobody asked for life to deal us, with these bullshit hands we're dealt
We gotta take these cards ourselves and flip 'em, don't expect no help
Now I could have either just sat on my ass and pissed an' moaned
Or take this situation in which I'm placed in and get up and get my own

I was never the type of kid to wait by the door and pack his bags
Or sat on the porch and hoped and prayed for a dad to show up who never did
I just wanted to fit in, in every single place, every school I went
I dreamed of being that cool kid, even if it meant actin' stupid

Aunt Edna always told me, ""Keep makin' that face, it'll get stuck like that""
Meanwhile I'm just standin' there, holdin' my tongue tryin' to talk like this
Till I stuck my tongue on that frozen stop sign pole at 8 years old
I learned my lesson then 'cause I wasn't tryin' to impress my friends no more

But I already told you my whole life story, not just based on my description
'Cause where you see it from where your sittin' it's probably 110% different
I guess we would have to walk a mile in each others' shoes at least
What size you wear, I wear 10's, let's see if you can fit your feet

In my shoes just to see what it's like, to be me
I'll be you, let's trade shoes, just to see what it'd be like to
Feel your pain, you feel mine, go inside each others' minds
Just to see what we'd find, look at shit through each others' eyes

But don't let 'em say you ain't beautiful, oh
They can all get fucked, just stay true to you
So don't let 'em say you ain't beautiful, oh
They can all get fucked, just stay true to you (so)

Lately I've been hard to reach, I've been too long on my own. (Oh)
Everybody has their private world, where they can be alone. (So)
Are you calling me? Are you trying to get through? (Oh)
Are you reaching out for me? I'm reaching out for you. (So)

Spoken
Yeah, to my babies, stay strong. Dad'll be home soon.
And to the rest of the world, God gave you them shoes, to fit you.
So put 'em on and wear 'em.
Be yourself, man. Be proud of who you are.
Even if it sounds corny, don't ever let no one tell you you ain't beautiful. (So)","['rap', 'Hip-Hop', 'Eminem', 'beautiful', 'hip hop', 'love at first listen', 'perfect', '2009', 'relapse', '00s', 'best tracks of 2009', 'sad', 'amazing', 'Beautiful sadness', 'american', 'Heartbreaking', 'Great Lyricists', 'comforting', 'MR MATHERS', 'soulful', 'Love it', 'Michigan', 'best songs of 2009', 'midwest rap', 'best of eminem', 'Walk A Mile in My Shoes', 'This song makes me think about how fucked up this fucking world is', 'Love Beautiful by Eminem', 'rock', 'soul', 'favourite', 'somber', 'male vocalists', '<3', 'lyrical genius', 'Aftermath', 'Shady', '8 Mile', 'Favorite Song right now', 'eminem singing', 'mellow cool', 'pop', 'Love', 'epic', 'Awesome', 'detroit', 'deep', 'chilled', 'super', 'depression', 'heartbreak', 'explicit', 'pain', 'inspiring', 'FUCKING AWESOME', '4 Stars', 'sample', 'Chills', 'rap rock', 'real talk', 'michigan rap', 'Memories Like Fire', 'eminem beautiful']",2
2819,TRBCKXX128F92FD505.h5,Olive,You're Not Alone,"In a way it's all
A matter of time.
I will not worry for you.
You'll be just fine.

Take my thoughts with you,
And when you look behind,
You will surely see a
Face that you recognize.

You're Not Alone.
I'll wait till the end of time.
Open your mind.
Surely it's plain to see
You're Not Alone.
I'll wait till the end of time for you.
Open your mind.
Surely there's time to be with me...

It is the distance
That makes life a little hard.
Two minds that once were close --
Now, so many miles apart.

I will not falter though.
I'll hold on to your home.
Safe way back where you belong,
And see how our love will grow-ow-ow-ow!

You're Not Alone.
I'll wait till the end of time.
Open your mind.
Surely it's plain to see
You're Not Alone.
I'll wait till the end of time for you.
Open your mind.
Surely there's time to be with me...

You're Not Alone.
I'll wait till the end of time.
Open your mind.
Surely it's plain to see
You're Not Alone.
I'll wait till the end of time for you.
Open your mind.
Surely there's time to be with me...

You're Not Alone.
(You're Not Alone!)
I'll wait till the end of time.
Open your mind.
(O-open your mi-ind!)
Baby there's time to be with me
You're Not Alone.
(You're Not Alo-o-one!)
I'll wait till the end of time for you.
(Never alone)
Open your mind.
(Open your mind!)
Surely there's time to be with me...
(Till the end of time)

You're Not Alone.
(You're Not Alone!)
I'll wait till the end of time.
Open your mind.
(O-open your mi-ind!)
Baby there's time for me and you, (you, you...)","['trip-hop', 'electronic', 'chillout', 'dance', 'electronica', '90s', 'female vocalists', 'ambient', 'Olive', 'downtempo', 'trance', 'female vocalist', 'beautiful', 'electro', 'british', 'trip hop', 'favorites', 'House', 'breakbeat', 'vocal trance', '1997', 'Mellow', 'chill', 'atmospheric', 'pop', 'sexy', 'Love', 'techno', 'lounge', 'melancholy', 'favourite', '00s', 'rock', 'classic', 'easy listening', 'funk', 'Awesome', 'funky', 'melancholic', 'triphop', 'groovy', 'Uplifting', 'euphoria', 'cool', 'Favorite', 'jecks', '1996', 'club-dance', '-chill-trip-lounge-down-', 'alternative', 'favorite songs', 'downbeat', 'night', 'Dreamy', 'Driving', 'england', 'beats', 'ethereal', 'I like', 'nice', 'loved', 'interesting', 'Favourites', 'uptempo', 'nostalgia', 'sensual', 'loneliness after dusk', 'tantotempotaste', 'music for people with superior taste in music', 'female electronica', 'reasons to love 90s', 'Dance  Electronic', 'absolute classics', 'touch of dance', 'n10-trip-hop', 'christian alexander tietgen']",2
2900,TRBIJMU12903CF892B.h5,Moonspell,The Hanged Man,"Put your arms around my neck
Just like a pathetic lace of death
Displays like a tarot deck
I am the card of the hanged man
And here I stand
With a flame on my hand
Do you understand?

If there is hope for me
She is flirting with the breeze
On a peculiar choreography
With the dead arms of some old southern tree

Silently, lips sealed against me
Silently, wanna walk with me?

And it makes you wanna know
If in all the stories the truth is really told

And it makes you wanna reborn
And like a snake crawl every warm season
Into a different form

When you can still kill me
When you can still cure me
Cure me

Put your lace around my face
Just like a fairytale
Through the blank of my closed eyes
You can foresee the rope within

And it makes you wanna know
How deep have you truly flown

And it makes you wanna ride
Through the fake suicide of someone
Already dead inside

Still you walk with me, silently

And it makes you wanna disclaim
Something you had really never learnt

And it makes you wanna stay
Forever tangled in the pale arms of some hanged man

Here I stand
To understand.
Violently
I have you with me...","['Gothic Metal', 'doom metal', 'moonspell', 'metal', 'Dark metal', 'portuguese', 'Gothic', 'metal ballads', 'atmospheric', 'Portugal', 'metal ballad', 'gothic romance', 'Female fronted metal', 'seen live', 'sexy', 'acoustic', 'romantic', 'melodic', 'melancholic', 'nice', 'Gothic Rock', 'best', '3 stars', '6 of 10 stars', 'mine', 'cryptic', 'acoustic guitar', 'sadness', 'keyboards', 'funeral doom', 'atmospheric doom metal', 'Atmospheric metal', 'death doom', 'Gothic Doom Metal', 'jo', 'gothic doom', 'Favs Of Nocci', 'ohmyfuckinggod I LOVE THIS SONG', 'zabralbym ich na kebaba', 'reflexive', 'sentyment', 'damn awesome', 'muka muka', 'Z3PO like this', 'bats out of hell', 'dark romantic metal', 'uspokaja', 'cryptic classic', 'tare2', 'expresive', 'similar tracks: the gathering - golden Grounds', 'hell angels', 'edgar allan poe doom']",2
2906,TRAQGNV128C7196894.h5,Blink-182,All Of This,"With all of this I know now
Everything inside of my head
It all just goes to show how
Nothing I know changes me at all
Again I waited for this to change instead
To tear the world in two
Another night with her
But I'm always wanting you 

Use me Holly come on and use me
We know where we go
Use me Holly come on and use me
We go where we know

With all of this I feel now
Everything inside of my heart
It all just seems to be how
Nothing I feel pulls at me at all
Again I waited for this to pull apart
To break my time in two
Another night with her
But I'm always wanting you

Use me Holly come on and use me
We know where we go
Use me Holly come on and use me
We go where we know

She's all I need
She's all I dream
She's all I'm always wanting
She's all I need
She's all I dream
She's all I'm always wanting you
I'm always wanting you
I'm always wanting you

Use me Holly come on and use me
We know where we go
Use me Holly come on and use me
We go where we know

She's all I need
She's all I dream
She's all I'm always wanting
She's all I need
She's all I dream
She's all I'm always wanting you

And all again I wait for this 
To fill a hole, to shake the sky in two
Another night with her
I'm always wanting you
Another night with her
But I'm always wanting you","['punk rock', 'rock', 'punk', 'pop punk', 'alternative', 'robert smith', 'alternative rock', 'Pop-punk', 'Love', 'sad', 'favorites', 'Blink 182', 'pop', 'Awesome', 'depressing', 'blink-182', 'BliNk182', 'duet with robert smith from the cure', 'seen live', 'emo', 'american', 'emotional', 'Bittersweet', 'cool', '00s', 'Favorite', 'The Cure', 'Love it', 'indie', 'Favorite Bands', 'new wave', 'haunting', 'Mellow', 'Calming', 'skate punk', '8 of 10 stars', '3 stars', 'Good Stuff', 'Favourite Songs', 'blink', 'blink -182', 'spanish', '80s', 'favorite songs', 'hardcore', 'indie rock', 'female vocalists', 'downtempo', 'power pop', 'singer-songwriter', 'USA', 'pop rock', 'memories', 'happy', 'slow', 'cute', 'post-punk', 'latin', 'beautiful', 'moody', '90s', 'crazy', 'Reflective', 'Progressive', 'covers', 'Sleep', 'nostalgic', 'California', 'aggressive', 'melancholic', 'quiet', 'loved', 'heard on Pandora', 'male vocalist', 'male vocalists', 'guilty pleasure', ""80's"", 'Acoustic Rock', 'j-pop', 'Favourites', 'Down', 'upcoming', '2000s', '4 Stars', 'addicting', 'sing along', 'american artist', 'sad songs', 'slow songs', 'songs that make me cry', 'Awww', '<3', 'fucking amazing', 'General Alternative', 'best songs ever', 'my music', 'Cocktails at Sunset', 'guest vocalist', 'the best', 'Punk-Pop']",2
2907,TRBCQLB128F9332CF4.h5,32 Leaves,Way Beyond,"Suddenly it all occurred to me
Lost as I am
There's breathing room
On both sides me

So what if we beg to differ my friend?
That dissolves away as fast as gravity will take me

Suddenly I came to be lost in my head
A victim of anxiety

So what if I beg to differ my friend?
Let's fall away as fast as gravity will take us there

Guide me way beyond this
Way beyond this world
Thought you would
Guide me way beyond this
Way beyond this world

Suddenly what all occurred to me got to my head
Your broken words inspire me

So what if we beg to differ my friend?
We dissolve away too fast as gravity takes us there

Guide me way beyond this
Way beyond this world
Thought you would
Guide me way beyond this
Way beyond this world

You taught me to face what I've never seen
Then you let me lie (It's all been a game)
You taught me to hate above everything
Then you sold me lies (You're not what you seem)
I'm trying to erase what you've done to me

Guide me way beyond this
Way beyond this world
Thought you would
Thought you would
Thought you would

Guide me way beyond this
Way beyond this world
Thought you would
Guide me way beyond this
Way beyond this world
Thought you would
Thought you would
Thought you would
Thought you would
Guide me way beyond this (Thought you would)
Way beyond this world (Thought you would)","['rock', 'hard rock', 'male vocalists', 'alternative rock', 'favorites', 'melancholic']",2
2931,TRAPCHT128F4239830.h5,Trivium,The Deceived,"Disintegration constituents to decompose of the parts
A malformation utopia systematic unity can't be achieved

Be numb to all the things
That force you to frame
Be numb to all the things
That force you to frame

We are the deceived
Lost in the foreseen
We are the deceived
Lost in the foreseen

To wait for aforementioned dreams time will only tell
Tell that the promised have been failed
Behold your fellow man through centuries of control
Adhering to the decrees of a manufactured god

Disintegration constituents to decompose of the parts
A malformation utopia systematic unity can't be achieved

Be numb to all the things
That force you to frame
Be numb to all the things
That force you to frame

We are the deceived
Lost in the foreseen
We are the deceived
Lost in the foreseen

To wait for aforementioned dreams time will only tell
Tell that the promised have been failed

Behold your fellow man through centuries of control
Adhering to the decrees of a manufactured god

Behold your fellow man through centuries of control
Adhering to the decrees of a manufactured god

To wait for aforementioned dreams time will only tell
Tell that the promised have been failed

To wait for aforementioned dreams time will only tell
Tell that the promised have been failed","['metalcore', 'metal', 'thrash metal', 'heavy metal', 'Trivium', 'Melodic Death Metal', 'speed metal', 'Nu-metal', 'beautiful', 'american', 'thrash', 'death metal', 'Favorite', 'FUCKING AWESOME', '2000s', 'melodic metalcore', 'Metawesomeness', 'The Deceived', 'noise', 'hardcore', 'Progressive metal', 'USA', 'doom metal', 'favorites', '2003', 'angry', 'melancholic', 'guilty pleasure', '00s', 'fav', 'Nu Metal', 'Power metal', 'melodic metal', '4 Stars', 'heard live', '7 of 10 stars', 'Favourite Songs', 'florida', 'Orlando', 'Nerd Metal', 'american metal', 'Melodic Thrash Metal', 'Krach', 'thrash metalcore', 'florida metal', 'circlepit ownage', 'trzy akordy darcie mordy', 'great breakdown', 'Caleb', 'Double Kick', 'so zorry', 'Thrash Never Dies', 'New Wave Of American Metal', 'orgasmic scream', 'KoRn Trivium Avenged Sevenfold Zacky Caliban', 'Biiiitch', 'whatevercore', 'the song that made me love the band', 'trivium - the deceived', 'ascendancy', 'Rock Heavy Loud', 'better than every track on the crusuade in every possible way', '2000s metal', 'DECIEVED', 'trivium hyva biisi', 'false lyrics', 'lemontree', 'synesthaesia 2005', 'music cradle', 'Awesome Fuckin Genious Solo', 'Immense Riff', 'arrrrgghhhhhh']",2
2943,TRAMBBV128F9337714.h5,Anti-Flag,Tearing Everyone Down,"I thought I'd begun, to see a change
But the more things change, the more they stay the same
Back stabbing and name calling, the trademarks of your act
You talk and talk of unity, but divide with your attacks

(You say)
I'd like to see a change
I'd like to see a change
I'd like to see a change, but I'm too busy...
Tearing everyone down
Tearing everyone down
Go!

All us kids, we try to make a change
Some kids start a band, others start a zine
YOU!, no matter what your path
You throw a curve in what could be achieved,
Then give up and move onto some other thing

(You say)
I'd like to see a change
I'd like to see a change
I'd like to see a change, but I'm too busy...
Tearing everyone down
Tearing everyone down

Take a break
From your fights,
Try to open your mind tonight
When you feel
That's complete
Then we can tackle this society!

You may not like
Everything in life I do...
But that doesn't mean
I'm not trying to change
The same problems as you

(You say)
I'd like to see a change
I'd like to see a change
I'd like to see a change, but I'm too busy...
Tearing everyone down
Tearing everyone down
Tearing everyone down (down!) down! (down!) down! (down!)
Tearing everyone down (down!) down! (down!) down! (down!)
Tearing everyone down","['punk', 'punk rock', 'political punk', 'seen live', 'memories', 'fantastic', '1998', 'male vocalist', 'great lyrics', 'sick', 'Yay', '2000s', 'english lyrics', 'sing along', '1990s', '2001', 'different', 'happiness', 'Meaningful', 'Live recording', 'Anti-Flag', 'my favourite songs', 'shower singalong song', 'high school nostalgia', 'politpunk', 'Songs To Make You Think', 'a new kind of army', 'mobilize', 'compilation song', 'a document of dissent', 'depressing memories']",1
2947,TRAFWEV128F428D391.h5,Cake,Alpha Beta Parking Lot,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a random page?","['alternative', 'rock', 'alternative rock', 'Cake', 'pop', 'indie rock', 'indie', 'chill', 'ska', 'lyrical', 'summer 2005', 'eat cake', 'seen live', 'pop rock', '90s', 'Driving', 'upbeat', 'up', 'mix', 'male vocalists', 'alt rock', 'eddie', 'Sentimental', 'Happy Music', 'All time favourites', 'counting crows', 'West Coast swing', 'my favorite', 'test2', 'Alternative favorites', 'silent intensity', 'leapsandbounds favorite songs', 'pligaa', '-3', 'pop favorites', 'portalternativo', 'tickles', 'manur0', 'Cake ABPL', 'leapsandfav', 'leapsandfavnolove']",1
