lyrics,mood
"I love her valleri
There's a girl I know
Who makes me feel so good
And I wouldn't live without her
Even if I could
They call her Valleri
I love her valleri
Oh yeah come on yeah wawo

She's the same little girl who used to
Hang around my door
But she sure looks different than
The way she looked before
I call her valleri
I love her valleri
Valleri
I love her valleri
Valleri
I love her valleri
",1
"When I'm in Berlin you're off to London
When I'm in New York you're doing Rome
All those crazy nights we spend together
As voices on the phone
Wishing we could be more telepathic
Tired of the nights I sleep alone
Wishing we could redirect the traffic
And we find ourselves a home
Can you feel the raindrops in the desert
Have you seen the sunrays in the dark
Do you feel my love when I'm not present
Standing by your side while miles apart
Sunshine in the rain
Love is still the same
Sunshine in the rain
Sunshine in the rain
Love is still the same
Sunshine in the rain

Even if we call the highest power
We can only do one town a time
Words are not enough action speaks louder
Second time around

Can you feel the raindrops in the desert
Have you seen the sunrays in the dark
Do you feel my love when I'm not present
Standing by your side while miles apart

Sunshine in the rain
Love is still the same
Sunshine in the rain
Sunshine in the rain
Love is still the same
Sunshine in the rain

When I'm in Berlin you're off to London
When I'm in New York you're doing Rome
All those crazy nights we spend together
As voices on the phone

Can you feel the raindrops in the desert
Have you seen the sunrays in the dark
Do you feel my love when I'm not present
Standing by your side while miles apart
Sunshine in the rain
Love is still the same
Sunshine in the rain
Sunshine in the rain
Love is still the same
Sunshine in the rain
Can you feel the raindrops in the desert
Have you seen the sunrays in the dark
Do you feel my love when I'm not present
Standing by your side while miles apart
Sunshine in the rain
Love is still the same
Sunshine in the rain
Sunshine in the rain
Love is still the same
Sunshine in the rain
",1
"New blood joins this earth
And quikly he's subdued
Through constant pain disgrace
The young boy learns their rules
With time the child draws in
This whipping boy done wrong
Deprived of all his thoughts
The young man struggles on and on he's known
A vow unto his own
That never from this day
His will they'll take away
What I've felt
What I've known
Never shined through in what I've shown
Never be
Never see
Won't see what might have been
What I've felt
What I've known
Never shined through in what I've shown
Never free
Never me
So I dub thee unforgiven
They dedicate their lives
To running all of his
He tries to please them all
This bitter man he is
Throughout his life the same
He's battled constantly
This fight he cannot win
A tired man they see no longer cares
The old man then prepares
To die regretfully
That old man here is me
What I've felt
What I've known
Never shined through in what I've shown
Never be
Never see
Won't see what might have been
What I've felt
What I've known
Never shined through in what I've shown
Never free
Never me
So I dub the unforgiven
What I've felt
What I've known
Never shined through in what I've shown
Never be
Never see
Won't see what might have been
What I've felt
What I've known
Never shined through in what I've shown
Never free
Never me
So I dub the unforgiven
Never free
Never me
So I dub the unforgiven
You labeled me
I'll label you
So I dub the unforgiven
Never free
Never me
So I dub the unforgiven
You labeled me
I'll label you
So I dub the unforgiven
Never free
Never me
So I dub the unforgiven
",3
"It's the first day of spring

And my life is starting over again

Well the trees grow, the river flows
And its water will wash away my sin

For I do believe that everyone
has one chance to fuck up their lives

Like a cut down tree, I will rise again
I'll be bigger, and stronger than ever before

If I'm still here hoping, that one day you may come back

If I'm still here hoping, that one day you may come back

There's a hope in every new seed
And every flower that grows on the Earth

And though I love you, and you know that
Well I no longer know what that's worth

And I'll come back to you, in a year or so
And rebuild ready to become

Oh the person, you believed in
Or the person that you used to love

If I'm still here hoping, that one day you may come back

If I'm still here hoping, that one day you may come back
",2
"Without giving anything away,
I can say it's by the sea.
It's a house that used to be the home of a friend of mine.
Without giving anything away,
you'll find ships inside of bottles,
and the garden's overgrown,
the house is white but the paint is coming of.
I didn't know if you wanted to,
when I came to pick you up.
But you didn't even hesitate,
and now you and me are on our way.
I think I've brought everything we need,
so don't look back,
don't think of the other places you should have been
it's a good thing that you came along with me.
Gold in the air of summer,
you'll shine like gold in the air of summer.
",4
"If I compiled
All my crimes and my lies,
Into amnesty,

Would you come back to me,

The smile on my lips
Is a sign that I don't hear you leaving me,

And I don't hear my own soul scream,

I'll read your lips,
Watch your scarf play at your hips,
And I know it's true,

But I don't hear him call to you,

Don't blame yourself,

Don't change yourself,

I Just want to be,

Over you say you feel love,

Don't hate yourself,

If I compiled
All my crimes and my lies into amnesty,

Would you come back to me,

The smile on my lips
Is a sign that I don't hear you leaving me,

And I don't hear my own soul scream,

Don't blame yourself,

Don't change yourself,

I Just want to be,
Over you say you feel love,

Don't hate yourself.
",2
"He deals the cards as a meditation
And those he plays never suspect
He doesn't play for the money he wins
He doesn't play for respect
He deals the cards to find the answer
The sacred geometery of chance
The hidden law of a probable outcome
The numbers lead a dance
I know that the spades are swords of a soldier
I know that the clubs are weapons of war
I know that diamonds mean money for this art
But that's not the shape of my heart
He may play the jack of diamonds
He may lay the queen of spades
He may conseal a king in his hand
While the memory of it fades
I know that the spades are swords of a soldier
I know that the clubs are weapons of war
I know that the diamonds mean money for this art
But that's not the shape of my heart
But that's not the shape,shape of my heart

And if i told you that i loved you
You'd maybe think there's something wrong
I'm not a man of too many faces
The mask i wear is one
Those who speak know nothing
And find out to their cost
Like those who curse their luck in too many places
Are those who fear a lost
I know that the spades are swords of a soldier
I know that the clubs are weapons of war
I know that diamonds mean money for this art
But that's not the shape of my heart
But that's not the shape of my heart
Thats not the shape,shape of my heart

",2
"We left our homes behind, now we're following the wolves' trail
Through the deepest forests, beneath the stars we ride
I can see the moon glowing red like the blood of warriors
There's a prophecy, that tonight many men will die
The fire will burn forever in our passionate hearts
Our destinies are calling us now
We are ready to take their lives

Into battle we ride with Gods by our side
We are strong and not afraid to die
We have an urge to kill and our lust for blood has to be fulfilled
WE'LL FIGHT TILL THE END! And send our enemies straight to Hell!

Prominent leaders, cast your swords in the wind as a sign of war
Men, prepare for death, 'cause we might never return

Blood will spill and heads will fall
As the swords sparkle, lights the night
The ground rumbles as we attack
In the throes of rage, we will fight
The lightning's flash, the thunder's roar
Will petrify the weak
We'll show no mercy, we'll kill them all!
We are sworn in the name of steel

Into battle we ride with Gods by our side
We are strong and not afraid to die
We have an urge to kill and our lust for blood has to be fulfilled
WE'LL FIGHT TILL THE END! And send our enemies straight to Hell!
Into battle we ride with Gods by our side
We are strong and not afraid to die
We have an urge to kill and our lust for blood has to be fulfilled
WE'LL FIGHT TILL THE END! And send our enemies straight to Hell!",2
"I'm gonna put it all behind me like nothing ever happened between us.
Nothing ever took place between you and me
Yeah, nothing ever happened.
And if you see me walking down the street
I won't even recognize you
I'll just erase you from my memory
Put it all behind me becaue you are erased.
Oh, erased.

You'll be sitting on someone else's couch
You'll be eating off a stranger's plate
Everything is gonna get wiped out
Like a new start, like a brand-new, fresh clean slate, yeah.
Well here I go remembering again
All the anger and the blame
People in glass houses shouldn't throw those stones,
But something just flew through my windowpane.

I'll be in a brand-new pair of running shoes
And you'll be walking on down different street
In a brand new suit and a fresh clean shirt
Making telephone calls
Keeping in time with someone else's feet
Keeping in time with someone else's feet",2
"If you're lonely
And need a friend
And troubles seem like
They never end
Just remember to keep the faith
And love will be there to light the way

Anytime you need a friend
I will be here
You'll never be alone again
So don't you fear

Even if you're miles away
I'm by your side
So don't you ever be lonely
Love will make it alright

When the shadows are closing in
And your spirit diminishing
Just remember you're not alone
And love will be there
To guide you home

Anytime you need a friend
I will be here
You'll never be alone again
So don't you fear

Even if you're miles away
I'm by your side
So don't you ever be lonely
Love will make it alright

If you just believe in me
I will love you endlessly
Take my hand
Take me into your heart
I'll be there forever baby
I won't let go
I'll never let go

Anytime you need a friend
I will be here
You'll never be alone again
So don't you fear

Even if you're miles away
I'm by your side
So don't you ever be lonely
It's alright
It's alright",2
"I'm numb but I still can feel you
Sometimes I'm blind but I see you
You are here but so far away

The times when you are not missing
Makes me feel like I'm spinning
Sometimes you get what you gave

I'm on a course of collision
I'm not about to give in
Can't explain my position or the condition I'm in

Where I am there's no limit, no walls, no ceilings
No intermission,
So let the party begin

Hey, hey, all the way!
DJ let it play!
Hey, hey, can you hear me?
Oh Oh Oh!

Hey, hey, all the way!
DJ let it play!
Hey, hey, can you hear me?
Oh Oh Oh!

Can You Hear Me?
Can You Hear Me? 
Can You Hear Me? 
Can You Hear Me?
Oh Oh Oh

Though you may not share my vision
I gotta make a decision
Do I go, do I stay?

You've gotten into my system
You're in control of my mental
I'm in a euphoric state, eah!

I'm on a course of collision
I'm not about to give in
Can't explain my position or the condition I'm in

Where I am there's no limit, no walls, no ceilings
No intermission,
So let the party begin

Hey, hey, all the way!
DJ let it play!
Hey, hey, can you hear me?
Oh Oh Oh!

Hey, hey, all the way!
DJ let it play!
Hey, hey, can you hear me?
Oh Oh Oh!

Oh Oh, Oh Oh, Oh
Oh Oh, Oh Oh, Oh
Oh Oh, Oh Oh, Oh
Oh Oh, Oh Oh, Oh

Can You Hear Me?
(Oh Oh, Oh Oh, Oh)
Can You Hear Me? 
(Oh Oh, Oh Oh, Oh)
Can You Hear Me? 
(Oh Oh, Oh Oh, Oh)
Can You Hear Me? 
(Oh Oh, Oh Oh, Oh)
Can You Hear Me?
(Oh Oh, Oh Oh, Oh)

Hey, hey, all the way!
DJ let it play!
Hey, hey, can you hear me?
Can you hear me?!
Oh Oh Oh!

Hey, hey, all the way!
DJ let it play!
Hey, hey, can you hear me?
Can you hear me?!
Oh Oh Oh!

Hey, hey, all the way!
DJ let it play!
Hey, hey, can you hear me?
Can you hear me?!
Oh Oh Oh!

Hey, hey, all the way!
DJ let it play!
Hey, hey, can you hear me?

(Oh Oh, Oh Oh, Oh)
Hey, hey, all the way!
(Oh Oh, Oh Oh, Oh)
DJ let it play!
(Oh Oh, Oh Oh, Oh)
Hey, hey, can you hear me?
(Oh Oh, Oh Oh, Oh)
Can you hear me?!

Can you hear me?
(Hey, hey, all the way!)
Can you hear me?
(DJ let it play!)
Can you hear me?
(Hey, hey, can you hear me?)
Can you hear me?
(Can you hear me?!)

Uh uh, Enrique, Enrique
Did it again, did it again
Mr. Morales, yeah yeah yeah",1
"I think that possibly, maybe I'm falling for you
Yes theres a chance that I've fallen quite hard over you.
I've seen the paths that your eyes wander down
I want to come too
I think that possibly, maybe I'm falling for you
No one understands me quite like you do
Through all of the shadowy corners of me
I never knew just what it was about this old coffee shop
I love so much
All of the while I never knew
I never knew just what it was about this old coffee shop
I love so much
All of the while I never knew

I think that possibly, maybe I'm falling for you
Yes theres a chance that I've fallen quite hard over you.
I've seen the waters that make your eyes shine
Now I'm shining too
Because oh because
I've fallen quite hard over over you
If I didn't know you, I'd rather not know
If I couldn't have you, I'd rather be alone
I never knew just what it was about this old coffee shop
I love so much
All of the while I never knew
I never knew just what it was about this old coffee shop
I love so much
All of the while, I never knew
All of the while , all of the while
It was you
",4
"Oh! Alas this compelling!
This weather and this distance.
Oh! Alas this compelling!
This weather and this distance.
Every moment this makes me groan.
My precious rainy season is getting waste due to your such a cheesy employment.
 
Oh! Alas this compelling!
This weather and this distance.
Every moment this makes me groan.
My precious rainy season is getting waste due to your such a cheesy employment.
Alas this compelling!
This weather and this distance.
 
Ta ta ta taa....
 
How many rains have finished.
Lo! How many rains have finished.
I am thus sitting in hope.
For which rainy season ye partner will be met.
When will that rain start on?
So when?
Pleasant meeting this rain is leaving from the availability.
My precious rainy season is getting waste due to your such a cheesy employment.
 
Oh! Alas this compelling!
This weather and this distance.
Every moment this makes me groan.
My precious rainy season is getting waste due to your such a cheesy employment.
Alas this compelling!
This weather and this distance.
 
Such a knot of the love it is.
Such a knot of the love it is.
That should not be break after get it knotted.
Hey, what is the guarantee of the employment.
If today is got so other day is lost.
Really, other is lost.
The smart woo matching has held in the heaven,
Nevertheless you confuse.
My precious rainy season is getting waste due to your such a cheesy employment
 
(ding-dong sounds of bells)
 
Every moment this makes me groan.
My precious rainy season is getting waste due to your such a cheesy employment.
Alas this compelling!
This weather and this distance.",2
"Its been a long cold winter without you
i've been crying on the inside over you
just slipped through my fingers as life turned away
its been a long cold winter since that day

Its hard to find
hard to find
hard to find the strength now but i try
and I don't want to
don't want to
don't want to go on and speak now
of what's gone by

Cos no matter what i say
no matter what i do
i cant change what happened
No matter what i say
no matter what i do
i cant change what happened
Cos no matter what i say
no matter what i do
i cant change what happened
No matter what i say
You just slipped through my fingers
and i feel so ashamed
You just slipped through my fingers
and i have paid

Cos no matter what i say
no matter what i do
i cant change what happened
No matter what i say
no matter what i do
i cant change what happened
no no I can't change
Cos no matter what i say
no matter what i do
i cant change what happened
No matter what i say
no no I can't change
Just slipped through my fingers
and i feel so ashamed
You just slipped through my fingers
and i have paid.

",2
"You say you're falling in love.
I cry from heaven above.
This time can only be kept...
By those who never have wept.
It's strange these things that we're told.
Live fast and never grow old.
Live fast and die in your shoes
The devil, the devil, may choose.

Heeee, liii Heee, liii.

Keep up with wishes of sin.
Your life will never begin.
Cleanse now the scum in your soul.
Out the lies, the lies you've been told.
These things can always be found...
Ind arkness, always in doubt.
Look up, don't age with content.
Get strong and go deep within.

Heee, liii. Heee, liii.

You say, you're falling in love.
Cry for shelter from heaven above.
Release the sin that lives in your heart.
Let the devil cry out in the dark.
Lifestyle is taking its toll.
Let yourself go just lose all control.
Just 'cause you know you are bored.
Don't you fall down upon your own sword.

Heee, liii. Heee, liii. Heeee, liii. He, l",1
"You can't sleep, you're restless
and slightly obsessed with falling too deep
and malfunction, you're a virus
who's intention is fucking up something
You're a crater
on the face of a problem much greater
It's the violence, or lack thereof control
Body and soul, digging a hole
Is the blood stainless?
Enjoy the pain with accepting your grief
Are you finished?
Dumb fucking question, don't let yourself fall asleep
Ressurect the intention
Once your vision is now mass-produced,
Imagine the insults a blessing
imagine accepting the truth

Imagine accepting the truth
Imagine accepting the truth
Imagine accepting the truth
Just imagine accepting the truth
Imagine accepting the truth

The pendulum swinging
Hypnosis has taken control, now you linger
on a shadow of a doubt
Have you really figured what you're all about?
Don't trust your instincts
Just open the chamber where you keep those darkest regrets
All the things you've done wrong
Rebellious at heart all along
Is your leader a voice?
Somehow you replaced all your game with a debt
Now the payback's a bitch
Why owe your life to a bitch?
Absolutely pathetic
and regret it when told you are made of mistakes
Imagine the insults a blessing
imagine accepting the truth

Imagine accepting the truth
Imagine accepting the truth
Imagine accepting the truth
Imagine accepting the truth
Imagine accepting the truth

Now speak to your leader!
Now speak to your leader!

Your father who art in heaven
Hallowed be thy name,
deliver us from evil, deliver us from evil
Your father who art in heaven
Hallowed be thy name,
deliver us from evil, deliver us from evil
Our father who art in heaven
Hallowed be thy name,
deliver me from evil, deliver me from evil
Our father who art in heaven
Hallowed be thy name,
deliver me from evil, deliver me from evil

Imagine accepting the truth
Imagine accepting the truth
Imagine accepting the truth
Imagine accepting the truth
Imagine accepting the truth

",3
"Fake Tales of San Francisco echo through the room
More point to a wedding disco without a bride or groom
There's a super cool band, yeah, with their trilbys and their glasses of white wine
And all the weekend rockstars in the toilets practicing their lines

I don't want to hear you (kick me out, kick me out)
I don't want to hear you, no (kick me out, kick me out)
I don't want to hear you (kick me out, kick me out)
I don't want to hear you, I don't want to hear you

Fake Tales of San Francisco echo through the air
And there's a few bored faces in the back, all wishing they weren't there
And as the microphone squeaks a young girl's telephone beeps
Yeah, she's dashing for the exit, oh, she's running to the streets outside
""Oh, you've saved me"", she screams down the line
""The band were fucking wank and I'm not having a nice time""

I don't want to hear you (kick me out, kick me out)
I don't want to hear you, no (kick me out, kick me out)
Yeah, but his bird said it's amazing, though, so all that's left
Is the proof that love's not only blind but deaf

He talks of San Francisco, he's from Hunter's Bar
I don't quite know the distance but I'm sure that's far
Yeah, I'm sure it's pretty far

And, yeah, I'd love to tell you all my problem
You're not from New York City, you're from Rotherham
So get off the bandwagon and put down the handbook
Yeah, yeah, yeah, yeah

Get off the bandwagon, put down the handbook
Get off the bandwagon, put down the handbook
Get off the bandwagon, put down the handbook
Get off the bandwagon, put down the handbook, yeah",1
"My lullaby,hung out to dry
What's up with that
It's over
Where are you dad
Mum's lookin' sad
What's up with that
It's dark in here
Why bleeding is breathing
You're hiding , underneath the smoke in the room
Try , bleeding is believing
I used to
My mouth is dry
Forgot how to cry
What's up with that
You're hurting me
I'm running fast
Can't hide the past
What's up with that
You're pushing me
Why , bleeding is breathing
You're hiding , underneath the smoke in the room
Try , bleeding is believing
I used to
I used to
Why , bleeding is breathing
You're hiding , underneath the smoke in the room
Try , bleeding is breathing
I saw you crawling on the floor
Why , bleeding is breathing
You're hiding , underneath the smoke in the room
Try , bleeding is breathing
I saw you crawling to the door
Why , bleeding is breathing
You're hiding , underneath the smoke in the room
Try , bleeding is breathing
I saw you falling on the floor
",1
"in the dark
Here in the dark
I feel electric
I sense my skin in between the waves
I am human, I am criminal
But I feel life here in my heart again
Standing in the rain
Thinking all the way
To keep these feelings inside
Walk away from here
Before the words appear
I will be silent..

Here in the dark
I feel electric
I sense my skin in between the waves
I am human, I am criminal
I hide behind the walls
So you don't notice me at all
But it hurts me so
Waiting in the wind
Whispering the things
I want you to know
Here in the dark
I feel electric
I sense my skin in between the waves
I am human, I am criminal
But I feel life here in my heart again
Only for you..only for you Only you..only you
I am human, I am criminal
But I feel life here in my heart again...
",4
"I think I'm in love,
With the girl next door
It's driving me crazy
I can't take it anymore
I hear her playing the drums late at night
The neighbours complain but thats the kind of girl I like

And maybe I should call her up
And invite her around
Maybe I should move to another town
But when I hear those drums late at night
I know I'm in love
With a girl who lives
Two Doors Down
I think I'm in love with a girl who lives
Two Doors Down
I think I'm in love with a girl who lives
Two Doors Down
I think I'm in love with a girl who lives
Two Doors Down
I think I'm in love

She and her friends sit at the back of the bus
But I'm always to shy to work the courage up
I hear that she likes to dance around the room
To a worn out 12"" of Marquee Moon

And maybe I should say ""What's up?""
And invite her around
Or take her for a spin around the town
Cos when I hear those drums late at night
I know I'm in love
With a girl who lives
Two Doors Down
I think I'm in love with a girl who lives
Two Doors Down
I think I'm in love with a girl who lives
Two Doors Down
I think I'm in love with a girl who lives
Two Doors Down
I think I'm in love with a girl who lives
Two Doors Down
I think I'm in love
Two Doors Down
I think I'm in love
I think I'm in love with a girl who lives
Two Doors Down
I think I'm in love
Two Doors Down
I think I'm in love
I think I'm in love with a girl who lives

And maybe I should call her up
And invite her around
And one day we could move to another town
Cos when I hear those drums late at night
I know I'm in love
In love with a girl who lives
Two Doors Down
I think I'm in love with a girl who lives
Two Doors Down
I think I'm in love with a girl who lives
Two Doors Down
I think I'm in love with a girl who lives
Two Doors Down
I think I'm in love with a girl who lives
Two Doors Down
I think I'm in love
Two Doors Down
I think I'm in love
I think I'm in love with a girl who lives
Two Doors Down
I think I'm in love
Two Doors Down
I think I'm in love
I think I'm in love with a girl who lives

I think I'm in love with a girl who lives
",1
"I  saw  the  sea  come  in
I  saw  your  good  old  friend
He  walked  right  passed
I\'ll  never  ask
I\'ll  never  ask  again
I  saw  the  sea  come  in
I  saw  your  good  old  friend
He  walked  right  passed
I\'ll  never  ask
I\'ll  never  ask  again
I  love  the  way  you  dance
We  can  work  well  out
Don\'t  you  miss  your  chance
The  pain  will  all  grow  out
I  heard  your  good  old  word
I  heard  the  things  you  said
They  shuffled  in
I  will  be  the  same  I\'ll  be  the  same  in  red
I  heard  your  good  old  word
And  I  also  heard  the  things  you  said
They  shuffled  in
I  will  be  the  same  I\'ll  be  the  same
Goodnight
I  love  the  way  you  dance
We  can  work  it  all  out
Don\'t  you  miss  your  chance
The  pain  will  all  grow  out
I  didn\'t  go  to  see  the  city
I  went  to  see  it  around  you
We  can  laugh  in  hell  together
The  devil  will  find  you  to
Nose  to  nose
Eyes  on  the  clouds
This  is  what  I  said
We  never  never  end
Nose  to  nose
Eyes  on  the  clouds
This  is  what  I  said
We  never  never  end
I  saw  the  sea  come  in
I  saw  your  good  old  friend
He  walked  right  passed
I\'ll  never  ask,  I\'ll  never  ask  again
never  ask,  I\'ll  never  ask  again
End
",4
"Went to the fortune teller
To have my fortune read
I didn't know what to tell her
I had a dizzy feeling in my head 

Siad she'd take a look at my palm
She said ""Son, you feel kinda warm""
And she looked into her crystal ball
Said ""You're in love"" 

Said it could not be so
Not with all the girls I know
She said when the next one arrives
Looking into her eyes 

I left there in a hurry
Looking forward to my big surprise
The next day I discovered
That the fortune teller told me a lie 

I hurried back down to that woman
As mad as I could be
I told her I didn't see nobody
Why'd she make a fool out of me 

Then something struck me
As if it came from up above
While looking at the fortune teller
I fell in love 

Now I'm a happy fellow
Well I'm married to the fortune teller
We're happy as we can be
Now I get my fortune told for free 

Now I'm a happy fellow
Well I'm married to the fortune teller
We're happy as we can be
And I get my fortune told for free",1
"When i get mad
And i get pissed
I grab my pen
And i write out a list
Of all the people
That won't be missed
You've made my shitlist

For all the ones
Who bum me out
Shitlist
For all the ones
Who fill my head with doubt
Shitlist
For all the squares who get me pissed
Shitlist
You've made my shitlist

Shitlist
Shitlist

When i get mad
And i get pissed
Shitlist
I grab my pen
And write out a list
Shitlist
Of all you assholes
Who won't be missed
Shitlist
You've made my shitlist

Shitlist
Shitlist

Shitlist
Shitlist

",3
"It's my party and I'll cry if I want to
Cry if I want to
Cry if I want to
You would cry too, if it happened to you

Nobody knows where my Johnny has gone
But Judy left the same time
Why was he holding her hand
When he's supposed to be mine?

It's my party and I'll cry if I want to
Cry if I want to
Cry if I want to
You would cry too, if it happened to you

Play all my records, keep dancing all night
But leave me alone for awhile
Till Johnny's dancing with me
I've got no reason to smile

It's my party and I'll cry if I want to
Cry if I want to
Cry if I want to
You would cry too, if it happened to you

Judy and Johnny just walked through the door
Like a queen with her king
Oh, what a birthday surprise
Judy's wearing his ring

It's my party and I'll cry if I want to
Cry if I want to
Cry if I want to
You would cry too, if it happened to you

Oh, it's my party and I'll cry if I want to
Cry if I want to
Cry if I want to
You would cry too, if it happened to you

Oh, it's my party and I'll cry if I want to",2
"Is he everything you wanted in a man?
You know I gave you the world
You had me in the palm of your hand
So why your love went away
I just can't seem to understand
Thought it was me and you, baby
Me and you until the end
But I guess I was wrong

Don't wanna think about it(uh)
Don't wanna talk about it(uh)
I'm just so sick about it
I can't believe it's ending this way
Just so confused about it(uh)
Feeling the blues about it(yeah)
I just can't do without ya
Tell me is this fate

Is the way it's really going down?
Is this how we say goodbye?
Shoulda known better when you came around
That you were gonna make me cry
It's breaking my heart to watch you run around
Cause I know that you're living a lie
But that's ok, baby, cause in time you will find

What goes around, goes around, goes around, don't go away, back around
What goes around, goes around, goes around, don't go away, back around
What goes around, goes around, goes around, don't go away, back around
What goes around, goes around, goes around, don't go away, back around
Yeah

Now Girl
I remember everything that you claimed
You said that you were moving on now(on now)
Maybe I should do the same(maybe I should do the same)
The funny thing about that is
I was ready to give you my name
Thought it was me and you baby(baby)
And now, it's all just a shame
That I guess I was wrong

Don't wanna think about it(no)
Don't wanna talk about it(hm)
I'm just so sick about it
I can't believe it's ending this way
Just so confused about it(uh)
Feeling the blues about it(yeah)
I just can't do without ya
Can you tell me is this fate

Is the way it's really going down?
Is this how we say goodbye?
Shoulda known better when you came around
That you were gonna make me cry
Now it's breaking my heart to watch you run around
Cause I know that you're living a lie
But that's ok, baby, cause in time you will find

What goes around, goes around, goes around, don't go away, back around
What goes around, goes around, goes around, don't go away, back around
What goes around, goes around, goes around, don't go away, back around
What goes around, goes around, goes around, don't go away, back around
Yeah

What goes around comes around
Yeahhh
What goes around comes around
You should know that
What goes around comes around
Yeahhh
What goes around comes around
You should know that

Don't wanna think about it(no)
Don't wanna talk about it(hm)
I'm just so sick about it
I can't believe it's ending this way
Just so confused about it(uh)
Feeling the blues about it(yeah)
I just can't do without ya
Tell me is this fate

Is the way it's really going down?
Is this how we say goodbye?
Shoulda known better when you came around(shoulda known better)
That you were gonna make me cry
It's breaking my heart to watch you run around(now it's breaking my heart)
Cause I know that you're living a lie
But that's ok, baby, cause in time you will find

What goes around, goes around, goes around, don't go away, back around
(what goes around comes around, baby)
What goes around, goes around, goes around, don't go away, back around
(what goes around comes around, baby)
What goes around, goes around, goes around, don't go away, back around
What goes around, goes around, goes around, don't go away, back around
Yeah

Yup
Yup
Yup(let me paint this picture for ya, baby)
Yup

You spend your nights alone
And he never comes home
And everytime you call him, all you get is a busy tone
I heard you found out
That he's doing to you
What you did to me
Ain't that the way it goes
When you cheated, girl
My heart bleeded, girl
So it go without saying that should let the feeling hurt
Just a classic case scenario
Tell is always time
Girl, you got what you deserved
And now you want somebody
To cure the lonely nights
You wish you had somebody
That could come and make it right
But girl, I ain't somebody
I'm out of sympathy
See..

What goes around comes back around
I thought I told ya
Hey(hey)
What goes around comes back around
I thought I told ya
Hey(hey)
What goes around comes back around
I thought I told ya
Hey(hey)
What goes around comes back around
I thought I told ya
Hey(hey)
Take it to em, J

Hey, hey, hey, hey(repeatedly till the end)

Haha
See
You shoulda listened to me, baby
Take it to em, J
Because
What goes around comes back around
Hahahaha
Ooh
Ooh-ooh-ooh-ooh
Ooh
Ooh-ooh-ooh-ooh
",4
"Did I disappoint you or let you down?
Should I be feeling guilty or let the judges frown?
'Cause I saw the end before we'd begun,
Yes I saw you were blinded and I knew I had won.
So I took what's mine by eternal right.
Took your soul out into the night.
It may be over but it won't stop there,
I am here for you if you'd only care.

You touched my heart you touched my soul.
You changed my life and all my goals.
And love is blind and that I knew when,
My heart was blinded by you.
I've kissed your lips and held your head.
Shared your dreams and shared your bed.
I know you well, I know your smell.
I've been addicted to you.

Goodbye my lover.
Goodbye my friend.
You have been the one.
You have been the one for me.
Goodbye my lover.
Goodbye my friend.
You have been the one.
You have been the one for me.

I am a dreamer but when I wake,
You can't break my spirit
it's my dreams you take.
And as you move on, remember me,
Remember us and all we used to be

I've seen you cry, I've seen you smile.
I've watched you sleeping for a while.
I'd be the father of your child.
I'd spend a lifetime with you.
I know your fears and you know mine.
We've had our doubts but now we're fine,
And I love you, I swear that's true.
I cannot live without you.
Goodbye my lover.
Goodbye my friend.
You have been the one.
You have been the one for me.
Goodbye my lover.
Goodbye my friend.
You have been the one.
You have been the one for me.

And I still hold your hand in mine.
In mine when I'm asleep.
And I will bear my soul in time,
When I'm kneeling at your feet.

Goodbye my lover.
Goodbye my friend.
You have been the one.
You have been the one for me.
Goodbye my lover.
Goodbye my friend.
You have been the one.
You have been the one for me.
I'm so hollow, baby, I'm so hollow.
I'm so, I'm so, I'm so hollow.

I'm so hollow, baby, I'm so hollow.
I'm so, I'm so, I'm so hollow.
",2
"I'm running out of ways to make you see
I want you to stay here beside me
I won't be okay and I won't pretend I am
So just tell me today and take my hand
Please take my hand
Please take my hand
Please take my hand
Please take my hand

Just say yes
Just say there's nothing holding you back
It's not a test, nor a trick of the mind
Only love

It's so simple and you know it is
You know it is
We can't be to and fro like this
All our lives
You're the only way to me
The path is clear
What do I have to say to you?
For God's sake, dear
For God's sake, dear
For God's sake, dear
For God's sake, dear
For God's sake, dear

Just say yes
Just say there's nothing holding you back
It's not a test, nor a trick of the mind
Only love

I can feel your heart beat through my shirt
This was all I wanted, all I want
It's all I want
It's all I want
It's all I want
It's all I want

Just say yes
Just say there's nothing holding you back
It's not a test, nor a trick of the mind
Only love

Just say yes
'Cause I'm aching, I know you are too
For the touch of your warm skin
As I breathe you in

I can feel your heart beat through my shirt
This was all I wanted, all I want
It's all I want
It's all I want
It's all I want
It's all I want

Just say yes
Just say there's nothing holding you back
It's not a test, nor a trick of the mind
Only love

Just say yes
'Cause I'm aching, I know you are too
For the touch of your warm skin
As I breathe you in
♥♥♥♥♥♥",1
